1. Token: 'the ' | Score: 10036269.59 | Freq: 139936 | Difficulty: 7.97
162. Token: 'le' | Score: 632854.91 | Freq: 31964 | Difficulty: 6.00
163. Token: 'd th' | Score: 632098.51 | Freq: 9783 | Difficulty: 7.08
164. Token: 'government' | Score: 624007.94 | Freq: 424 | Difficulty: 45.54
165. Token: 'when' | Score: 623792.49 | Freq: 4706 | Difficulty: 15.57
166. Token: 's' | Score: 622200.00 | Freq: 311100 | Difficulty: 1.00
167. Token: 'he p' | Score: 620508.96 | Freq: 6003 | Difficulty: 11.92
168. Token: ' m' | Score: 619404.96 | Freq: 39238 | Difficulty: 4.58
169. Token: 'me' | Score: 619069.99 | Freq: 31084 | Difficulty: 6.04
170. Token: 'are ' | Score: 617925.77 | Freq: 9303 | Difficulty: 7.30
171. Token: 'ic' | Score: 617406.24 | Freq: 24143 | Difficulty: 8.04
172. Token: ' he' | Score: 613477.74 | Freq: 17641 | Difficulty: 5.69
173. Token: 'he c' | Score: 612613.74 | Freq: 7012 | Difficulty: 9.92
174. Token: 'in t' | Score: 610212.77 | Freq: 8330 | Difficulty: 8.16
175. Token: 'fo' | Score: 610162.83 | Freq: 18533 | Difficulty: 10.64
176. Token: 'al ' | Score: 610115.88 | Freq: 12773 | Difficulty: 8.19
177. Token: ' ha' | Score: 609453.81 | Freq: 16307 | Difficulty: 6.19
178. Token: 'would' | Score: 609291.09 | Freq: 2720 | Difficulty: 19.04
179. Token: 'atio' | Score: 607638.59 | Freq: 9260 | Difficulty: 7.20
180. Token: ' whi' | Score: 605828.45 | Freq: 4877 | Difficulty: 14.53
181. Token: 'e th' | Score: 602373.19 | Freq: 8895 | Difficulty: 7.47
182. Token: 'been ' | Score: 601308.82 | Freq: 2420 | Difficulty: 21.22
183. Token: 'con' | Score: 599509.07 | Freq: 9090 | Difficulty: 11.69
184. Token: 'as' | Score: 598184.05 | Freq: 42298 | Difficulty: 4.00
185. Token: 'ight' | Score: 597388.31 | Freq: 4461 | Difficulty: 15.74
186. Token: 'ng' | Score: 595450.38 | Freq: 38277 | Difficulty: 4.50
187. Token: 've ' | Score: 595107.69 | Freq: 9678 | Difficulty: 10.83
188. Token: ', th' | Score: 594387.40 | Freq: 6307 | Difficulty: 10.78
189. Token: 'e' | Score: 593202.00 | Freq: 593202 | Difficulty: 0.00
190. Token: ', an' | Score: 592741.03 | Freq: 6686 | Difficulty: 10.08
191. Token: 'development' | Score: 591142.36 | Freq: 333 | Difficulty: 47.66
192. Token: 'l' | Score: 588879.00 | Freq: 196293 | Difficulty: 2.00
193. Token: 'tio' | Score: 588225.77 | Freq: 17689 | Difficulty: 5.40
194. Token: 'were ' | Score: 587277.15 | Freq: 3215 | Difficulty: 15.34
195. Token: 'of a' | Score: 583107.92 | Freq: 4822 | Difficulty: 14.12
196. Token: 'e w' | Score: 580692.08 | Freq: 12013 | Difficulty: 8.30
197. Token: 't of' | Score: 580609.11 | Freq: 5089 | Difficulty: 13.26
198. Token: 'ch ' | Score: 580332.21 | Freq: 8443 | Difficulty: 12.23
199. Token: ' but' | Score: 579431.10 | Freq: 4355 | Difficulty: 15.63
200. Token: 're ' | Score: 579161.67 | Freq: 19208 | Difficulty: 4.80
